,token 0,token 1,token 2,token 3,token 4
0,האתר,מותאם,לצפייה,בדפדפנים,מודרנים
1,,,,,
,lemma 0,lemma 1,lemma 2,lemma 3,lemma 4,lemma 5,lemma 6,lemma 7,lemma 8,lemma 9,lemma 10
0,ה,אתר,הותאם,ל,ה,צפייה,ב,ה,דפדפן,מ,ודרנים
1,,,,,,,,,,,
,segment 0,segment 1,segment 2,segment 3,segment 4,segment 5,segment 6,segment 7,segment 8,segment 9,segment 10
0,ה,אתר,מותאם,ל,ה,צפייה,ב,ה,דפדפנים,מ,ודרנים
1,,,,,,,,,,,
,num,word,lemma,pos,pos_2,empty,dependency_arc,dependency_part,dependency_arc_2,dependency_part_2
0,1,ה,ה,DEF,DEF,,2,def,_,_
1,2,אתר,אתר,NN,NN,gen=M|num=S,3,subj,_,_
2,3,מותאם,הותאם,BN,BN,gen=M|num=S|per=A,0,ROOT,_,_
3,4,ל,ל,PREPOSITION,PREPOSITION,,3,comp,_,_
4,5,ה,ה,DEF,DEF,,6,def,_,_
5,6,צפייה,צפייה,NN,NN,gen=F|num=S,4,pobj,_,_
6,7,ב,ב,PREPOSITION,PREPOSITION,,6,prepmod,_,_
7,8,ה,ה,DEF,DEF,,9,def,_,_
8,9,דפדפנים,דפדפן,NN,NN,gen=M|num=P,7,pobj,_,_
9,10,מ,מ,PREPOSITION,PREPOSITION,,6,prepmod,_,_
10,11,ודרנים,ודרנים,NNP,NNP,,10,pobj,_,_
11,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,suf_gen,suf_num,suf_per,tense,word
0,DEF,1,ה,0,1,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
1,REL,1,ה,0,2,-1,-1,-1,REL,-1,-1,-1,-1,-1,ה
2,NNP,1,האתר,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,האתר
3,NN,1,האתר,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,האתר
4,NN,1,האתר,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,האתר
5,NNP,1,האתר,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,האתר
6,NNP,1,האתר,0,3,-1,-1,-1,NNP,-1,-1,-1,-1,-1,האתר
7,NNP,1,האתר,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,האתר
8,NN,1,האתר,0,3,-1,P,-1,NN,-1,-1,-1,-1,-1,האתר
9,NN,1,האתר,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,האתר
10,NN,1,האתר,0,3,-1,P,-1,NN,-1,-1,-1,-1,-1,האתר
11,VB,1,איתר,1,3,-1,S,2,VB,-1,-1,-1,-1,IMPERATIVE,אתר
12,NNT,1,אתר,1,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,אתר
13,NN,1,אתר,1,3,-1,S,-1,NN,-1,-1,-1,-1,-1,אתר
14,VB,1,איתר,1,3,-1,S,3,VB,-1,-1,-1,-1,PAST,אתר
15,VB,1,איתר,2,3,-1,S,2,VB,-1,-1,-1,-1,IMPERATIVE,אתר
16,NNT,1,אתר,2,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,אתר
17,NN,1,אתר,2,3,-1,S,-1,NN,-1,-1,-1,-1,-1,אתר
18,VB,1,איתר,2,3,-1,S,3,VB,-1,-1,-1,-1,PAST,אתר
19,VB,2,הותאם,3,4,-1,S,A,VB,-1,-1,-1,-1,BEINONI,מותאם
20,BN,2,הותאם,3,4,-1,S,A,BN,-1,-1,-1,-1,-1,מותאם
21,JJ,2,מותאם,3,4,-1,S,-1,JJ,-1,-1,-1,-1,-1,מותאם
22,JJT,2,מותאם,3,4,-1,S,-1,JJT,-1,-1,-1,-1,-1,מותאם
23,BNT,2,הותאם,3,4,-1,S,A,BNT,-1,-1,-1,-1,-1,מותאם
24,PREPOSITION,3,ל,4,5,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,ל
25,NNP,3,לצפייה,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,לצפייה
26,NN,3,לצפייה,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,לצפייה
27,NN,3,לצפייה,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,לצפייה
28,NNP,3,לצפייה,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,לצפייה
29,NNP,3,לצפייה,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,לצפייה
30,NNP,3,לצפייה,4,7,-1,-1,-1,NNP,-1,-1,-1,-1,-1,לצפייה
31,NN,3,לצפייה,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,לצפייה
32,NN,3,לצפייה,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,לצפייה
33,NN,3,לצפייה,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,לצפייה
34,DEF,3,ה,5,6,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
35,NN,3,צפייה,5,7,-1,S,-1,NN,-1,-1,-1,-1,-1,צפייה
36,NN,3,צפייה,6,7,-1,S,-1,NN,-1,-1,-1,-1,-1,צפייה
37,PREPOSITION,4,ב,7,8,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,ב
38,NNP,4,בדפדפנים,7,10,-1,S,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
39,NN,4,בדפדפנים,7,10,-1,S,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
40,NN,4,בדפדפנים,7,10,-1,S,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
41,NNP,4,בדפדפנים,7,10,-1,S,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
42,NNP,4,בדפדפנים,7,10,-1,S,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
43,NNP,4,בדפדפנים,7,10,-1,-1,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
44,NN,4,בדפדפנים,7,10,-1,P,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
45,NN,4,בדפדפנים,7,10,-1,S,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
46,NN,4,בדפדפנים,7,10,-1,P,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
47,NN,4,דפדפן,8,10,-1,P,-1,NN,-1,-1,-1,-1,-1,דפדפנים
48,DEF,4,ה,8,9,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
49,NN,4,דפדפן,9,10,-1,P,-1,NN,-1,-1,-1,-1,-1,דפדפנים
50,PREPOSITION,5,מ,10,11,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,מ
51,NNP,5,מודרנים,10,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,מודרנים
52,NN,5,מודרנים,10,12,-1,S,-1,NN,-1,-1,-1,-1,-1,מודרנים
53,NN,5,מודרנים,10,12,-1,S,-1,NN,-1,-1,-1,-1,-1,מודרנים
54,NNP,5,מודרנים,10,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,מודרנים
55,NNP,5,מודרנים,10,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,מודרנים
56,NNP,5,מודרנים,10,12,-1,-1,-1,NNP,-1,-1,-1,-1,-1,מודרנים
57,NN,5,מודרנים,10,12,-1,P,-1,NN,-1,-1,-1,-1,-1,מודרנים
58,NN,5,מודרנים,10,12,-1,S,-1,NN,-1,-1,-1,-1,-1,מודרנים
59,NN,5,מודרנים,10,12,-1,P,-1,NN,-1,-1,-1,-1,-1,מודרנים
60,NNP,5,ודרנים,11,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,ודרנים
61,NN,5,ודרנים,11,12,-1,S,-1,NN,-1,-1,-1,-1,-1,ודרנים
62,NN,5,ודרנים,11,12,-1,S,-1,NN,-1,-1,-1,-1,-1,ודרנים
63,NNP,5,ודרנים,11,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,ודרנים
64,NNP,5,ודרנים,11,12,-1,-1,-1,NNP,-1,-1,-1,-1,-1,ודרנים
65,NNP,5,ודרנים,11,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,ודרנים
66,NN,5,ודרנים,11,12,-1,P,-1,NN,-1,-1,-1,-1,-1,ודרנים
67,NN,5,ודרנים,11,12,-1,S,-1,NN,-1,-1,-1,-1,-1,ודרנים
68,NN,5,ודרנים,11,12,-1,P,-1,NN,-1,-1,-1,-1,-1,ודרנים
69,,,,,,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,tense,word
0,-1,-1,ה,0,1,1,-1,-1,DEF,DEF,-1,ה
1,-1,M,אתר,1,2,1,S,-1,NN,NN,-1,אתר
2,-1,M,הותאם,2,3,2,S,A,BN,BN,-1,מותאם
3,-1,-1,ל,3,4,3,-1,-1,PREPOSITION,PREPOSITION,-1,ל
4,-1,-1,ה,4,5,3,-1,-1,DEF,DEF,-1,ה
5,-1,F,צפייה,5,6,3,S,-1,NN,NN,-1,צפייה
6,-1,-1,ב,6,7,4,-1,-1,PREPOSITION,PREPOSITION,-1,ב
7,-1,-1,ה,7,8,4,-1,-1,DEF,DEF,-1,ה
8,-1,M,דפדפן,8,9,4,P,-1,NN,NN,-1,דפדפנים
9,-1,-1,מ,9,10,5,-1,-1,PREPOSITION,PREPOSITION,-1,מ
10,-1,-1,ודרנים,10,11,5,-1,-1,NNP,NNP,-1,ודרנים
11,,,,,,,,,,,,
,token 0,token 1,token 2,token 3,token 4
0,האתר,מותאם,לצפייה,בדפדפנים,מודרנים
1,,,,,
,lemma 0,lemma 1,lemma 2,lemma 3,lemma 4,lemma 5,lemma 6,lemma 7,lemma 8,lemma 9,lemma 10
0,ה,אתר,הותאם,ל,ה,צפייה,ב,ה,דפדפן,מ,ודרנים
1,,,,,,,,,,,
,segment 0,segment 1,segment 2,segment 3,segment 4,segment 5,segment 6,segment 7,segment 8,segment 9,segment 10
0,ה,אתר,מותאם,ל,ה,צפייה,ב,ה,דפדפנים,מ,ודרנים
1,,,,,,,,,,,
,num,word,lemma,pos,pos_2,empty,dependency_arc,dependency_part,dependency_arc_2,dependency_part_2
0,1,ה,ה,DEF,DEF,,2,def,_,_
1,2,אתר,אתר,NN,NN,gen=M|num=S,3,subj,_,_
2,3,מותאם,הותאם,BN,BN,gen=M|num=S|per=A,0,ROOT,_,_
3,4,ל,ל,PREPOSITION,PREPOSITION,,3,comp,_,_
4,5,ה,ה,DEF,DEF,,6,def,_,_
5,6,צפייה,צפייה,NN,NN,gen=F|num=S,4,pobj,_,_
6,7,ב,ב,PREPOSITION,PREPOSITION,,6,prepmod,_,_
7,8,ה,ה,DEF,DEF,,9,def,_,_
8,9,דפדפנים,דפדפן,NN,NN,gen=M|num=P,7,pobj,_,_
9,10,מ,מ,PREPOSITION,PREPOSITION,,6,prepmod,_,_
10,11,ודרנים,ודרנים,NNP,NNP,,10,pobj,_,_
11,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,suf_gen,suf_num,suf_per,tense,word
0,DEF,1,ה,0,1,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
1,REL,1,ה,0,2,-1,-1,-1,REL,-1,-1,-1,-1,-1,ה
2,NNP,1,האתר,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,האתר
3,NN,1,האתר,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,האתר
4,NN,1,האתר,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,האתר
5,NNP,1,האתר,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,האתר
6,NNP,1,האתר,0,3,-1,-1,-1,NNP,-1,-1,-1,-1,-1,האתר
7,NNP,1,האתר,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,האתר
8,NN,1,האתר,0,3,-1,P,-1,NN,-1,-1,-1,-1,-1,האתר
9,NN,1,האתר,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,האתר
10,NN,1,האתר,0,3,-1,P,-1,NN,-1,-1,-1,-1,-1,האתר
11,VB,1,איתר,1,3,-1,S,2,VB,-1,-1,-1,-1,IMPERATIVE,אתר
12,NNT,1,אתר,1,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,אתר
13,NN,1,אתר,1,3,-1,S,-1,NN,-1,-1,-1,-1,-1,אתר
14,VB,1,איתר,1,3,-1,S,3,VB,-1,-1,-1,-1,PAST,אתר
15,VB,1,איתר,2,3,-1,S,2,VB,-1,-1,-1,-1,IMPERATIVE,אתר
16,NNT,1,אתר,2,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,אתר
17,NN,1,אתר,2,3,-1,S,-1,NN,-1,-1,-1,-1,-1,אתר
18,VB,1,איתר,2,3,-1,S,3,VB,-1,-1,-1,-1,PAST,אתר
19,VB,2,הותאם,3,4,-1,S,A,VB,-1,-1,-1,-1,BEINONI,מותאם
20,BN,2,הותאם,3,4,-1,S,A,BN,-1,-1,-1,-1,-1,מותאם
21,JJ,2,מותאם,3,4,-1,S,-1,JJ,-1,-1,-1,-1,-1,מותאם
22,JJT,2,מותאם,3,4,-1,S,-1,JJT,-1,-1,-1,-1,-1,מותאם
23,BNT,2,הותאם,3,4,-1,S,A,BNT,-1,-1,-1,-1,-1,מותאם
24,PREPOSITION,3,ל,4,5,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,ל
25,NNP,3,לצפייה,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,לצפייה
26,NN,3,לצפייה,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,לצפייה
27,NN,3,לצפייה,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,לצפייה
28,NNP,3,לצפייה,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,לצפייה
29,NNP,3,לצפייה,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,לצפייה
30,NNP,3,לצפייה,4,7,-1,-1,-1,NNP,-1,-1,-1,-1,-1,לצפייה
31,NN,3,לצפייה,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,לצפייה
32,NN,3,לצפייה,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,לצפייה
33,NN,3,לצפייה,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,לצפייה
34,DEF,3,ה,5,6,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
35,NN,3,צפייה,5,7,-1,S,-1,NN,-1,-1,-1,-1,-1,צפייה
36,NN,3,צפייה,6,7,-1,S,-1,NN,-1,-1,-1,-1,-1,צפייה
37,PREPOSITION,4,ב,7,8,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,ב
38,NNP,4,בדפדפנים,7,10,-1,S,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
39,NN,4,בדפדפנים,7,10,-1,S,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
40,NN,4,בדפדפנים,7,10,-1,S,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
41,NNP,4,בדפדפנים,7,10,-1,S,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
42,NNP,4,בדפדפנים,7,10,-1,S,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
43,NNP,4,בדפדפנים,7,10,-1,-1,-1,NNP,-1,-1,-1,-1,-1,בדפדפנים
44,NN,4,בדפדפנים,7,10,-1,P,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
45,NN,4,בדפדפנים,7,10,-1,S,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
46,NN,4,בדפדפנים,7,10,-1,P,-1,NN,-1,-1,-1,-1,-1,בדפדפנים
47,NN,4,דפדפן,8,10,-1,P,-1,NN,-1,-1,-1,-1,-1,דפדפנים
48,DEF,4,ה,8,9,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
49,NN,4,דפדפן,9,10,-1,P,-1,NN,-1,-1,-1,-1,-1,דפדפנים
50,PREPOSITION,5,מ,10,11,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,מ
51,NNP,5,מודרנים,10,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,מודרנים
52,NN,5,מודרנים,10,12,-1,S,-1,NN,-1,-1,-1,-1,-1,מודרנים
53,NN,5,מודרנים,10,12,-1,S,-1,NN,-1,-1,-1,-1,-1,מודרנים
54,NNP,5,מודרנים,10,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,מודרנים
55,NNP,5,מודרנים,10,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,מודרנים
56,NNP,5,מודרנים,10,12,-1,-1,-1,NNP,-1,-1,-1,-1,-1,מודרנים
57,NN,5,מודרנים,10,12,-1,P,-1,NN,-1,-1,-1,-1,-1,מודרנים
58,NN,5,מודרנים,10,12,-1,S,-1,NN,-1,-1,-1,-1,-1,מודרנים
59,NN,5,מודרנים,10,12,-1,P,-1,NN,-1,-1,-1,-1,-1,מודרנים
60,NNP,5,ודרנים,11,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,ודרנים
61,NN,5,ודרנים,11,12,-1,S,-1,NN,-1,-1,-1,-1,-1,ודרנים
62,NN,5,ודרנים,11,12,-1,S,-1,NN,-1,-1,-1,-1,-1,ודרנים
63,NNP,5,ודרנים,11,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,ודרנים
64,NNP,5,ודרנים,11,12,-1,-1,-1,NNP,-1,-1,-1,-1,-1,ודרנים
65,NNP,5,ודרנים,11,12,-1,S,-1,NNP,-1,-1,-1,-1,-1,ודרנים
66,NN,5,ודרנים,11,12,-1,P,-1,NN,-1,-1,-1,-1,-1,ודרנים
67,NN,5,ודרנים,11,12,-1,S,-1,NN,-1,-1,-1,-1,-1,ודרנים
68,NN,5,ודרנים,11,12,-1,P,-1,NN,-1,-1,-1,-1,-1,ודרנים
69,,,,,,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,tense,word
0,-1,-1,ה,0,1,1,-1,-1,DEF,DEF,-1,ה
1,-1,M,אתר,1,2,1,S,-1,NN,NN,-1,אתר
2,-1,M,הותאם,2,3,2,S,A,BN,BN,-1,מותאם
3,-1,-1,ל,3,4,3,-1,-1,PREPOSITION,PREPOSITION,-1,ל
4,-1,-1,ה,4,5,3,-1,-1,DEF,DEF,-1,ה
5,-1,F,צפייה,5,6,3,S,-1,NN,NN,-1,צפייה
6,-1,-1,ב,6,7,4,-1,-1,PREPOSITION,PREPOSITION,-1,ב
7,-1,-1,ה,7,8,4,-1,-1,DEF,DEF,-1,ה
